,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,5A1FmxbYVRZKy4nc16MAue,203347
1,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,6GG73Jik4jUlQCkKg9JuGO,165853
2,0.579,0.558,-6.986,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,7nzsY8vlnKdvGOEE0rjAXZ,207357
3,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,57Xjny5yNzAcsxnusKmAfA,219827
4,0.426,0.888,-3.72,0.0987,0.000455,0.0,0.306,0.387,144.111,0M3adYbGtyRHACP86dey1H,191520
5,0.412,0.919,-7.291,0.184,0.0124,0.0601,0.424,0.572,166.367,0tZ3mElWcr74OOhKEiNz1x,229467
6,0.324,0.938,-7.332,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,178440
7,0.356,0.872,-7.837,0.068,0.00417,0.00975,0.0997,0.607,166.3,5G1sTBGbZT5o4PNRc75RKI,193653
8,0.577,0.604,-5.703,0.0495,0.000218,0.000579,0.477,0.637,167.719,6tsojOQ5wHaIjKqIryLZK6,263440
9,0.246,0.768,-7.48,0.0387,0.000631,0.301,0.102,0.35,169.873,6KtLECDztnah63TNmV4Plw,212733
10,0.437,0.94,-6.946,0.0426,0.0524,0.000573,0.222,0.48,151.417,4NnWuGQujzWUEg0uZokO5M,212013
11,0.411,0.986,-2.522,0.0583,0.000264,0.00148,0.371,0.649,165.981,5BB0Jzw60KyfSTyjJqtely,205960
12,0.451,0.951,-3.754,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,3agtg0x11wPvLIWkYR39nZ,213933
13,0.58,0.894,-6.382,0.042,0.000136,0.369,0.286,0.566,125.596,3GcVQCRSaPNupmf65YKyQI,185960
14,0.426,0.929,-6.729,0.0701,0.00162,0.105,0.0789,0.539,127.059,1MQTmpYOZ6fcMQc56Hdo7T,205600
15,0.648,0.937,-3.977,0.0892,0.000539,0.0,0.0555,0.679,91.469,0cJFobGkaiupCsOfE2eBZ1,196840
16,0.349,0.981,-3.228,0.141,2.58e-05,0.0,0.343,0.207,160.042,4JsDHMv5PVO8N07DbDq33r,202640
17,0.481,0.645,-8.535,0.318,0.0863,6.2e-06,0.332,0.612,151.307,4jU7NPkz4HVnM4hweqNhI1,157560
18,0.264,0.78,-2.741,0.0517,0.0452,0.0222,0.376,0.456,155.376,7ISL3LO8AWP3fKIXunvqTa,280467
19,0.205,0.973,-3.389,0.124,0.01,0.0,0.393,0.565,172.689,717oSBYrcR8awQgUsmyE32,114667
20,0.511,0.934,-4.561,0.242,0.00403,3.48e-05,0.242,0.668,168.062,454I78HEySdcHE8fcVabTb,272240
21,0.508,0.866,-5.785,0.0687,0.000702,0.778,0.238,0.342,149.992,5G6jZFDAFlpAA9v5LTV4NI,206924
22,0.514,0.779,-5.136,0.0417,0.00314,1.3e-05,0.0635,0.313,91.089,0Rw35DKIumkbbMC7XPOn5r,217538
23,0.436,0.942,-2.206,0.0496,9.56e-05,0.000438,0.209,0.5,164.975,6GPpocnUJbzMNMTJDLYCim,253947
24,0.424,0.919,-4.629,0.1,0.00306,0.00674,0.123,0.684,163.732,6WlmA3HPHuNIR2mxI8LkZF,171467
25,0.449,0.864,-3.892,0.0352,2.04e-05,0.0,0.108,0.713,167.154,0ChpoNjXfJPjMvCIN6so6J,226080
26,0.435,0.95,-3.869,0.106,0.000494,0.0,0.317,0.457,160.987,6xyiHZgrmXw7sMyYXbXjPV,207634
27,0.439,0.945,-2.21,0.138,0.00677,0.0,0.166,0.455,161.954,1eylM8qwVdD1AXDy3vjSgT,195680
28,0.466,0.951,-3.314,0.125,0.0016,0.00242,0.351,0.499,165.107,5NAiPIEzxAexFE3ucV18Q8,222147
29,0.462,0.979,-4.255,0.0664,0.000899,8.3e-06,0.33,0.542,173.957,0xfMFT9G8Ekk7CEYtVabIm,171323
30,0.465,0.963,-3.568,0.0484,0.00161,0.0,0.196,0.528,160.065,6Y2kW1mdHE0znPCjtOdt5m,230027
